danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
0.561,0.932,5,-5.563,1,0.0614,0.00255,0.0,0.144,0.586,103.04,5Qe0ZZzG24zLx7vfWQilVu,spotify:track:5Qe0ZZzG24zLx7vfWQilVu,https://api.spotify.com/v1/tracks/5Qe0ZZzG24zLx7vfWQilVu,https://api.spotify.com/v1/audio-analysis/5Qe0ZZzG24zLx7vfWQilVu,275587,4
0.439,0.303,3,-10.839,1,0.0422,0.839,0.0,0.071,0.268,139.475,02JIdsrod3BYucThfUFDUX,spotify:track:02JIdsrod3BYucThfUFDUX,https://api.spotify.com/v1/tracks/02JIdsrod3BYucThfUFDUX,https://api.spotify.com/v1/audio-analysis/02JIdsrod3BYucThfUFDUX,170787,3
0.447,0.249,6,-16.528,0,0.0495,0.812,0.0,0.366,0.51,84.96,7zLa17CxufBeFTseV6XJWD,spotify:track:7zLa17CxufBeFTseV6XJWD,https://api.spotify.com/v1/tracks/7zLa17CxufBeFTseV6XJWD,https://api.spotify.com/v1/audio-analysis/7zLa17CxufBeFTseV6XJWD,256093,4
0.597,0.784,6,-8.15,1,0.0858,0.109,0.00777,0.0523,0.9,164.056,2m1mYan1nvOMORlb12q2Y9,spotify:track:2m1mYan1nvOMORlb12q2Y9,https://api.spotify.com/v1/tracks/2m1mYan1nvOMORlb12q2Y9,https://api.spotify.com/v1/audio-analysis/2m1mYan1nvOMORlb12q2Y9,242747,4
0.715,0.758,2,-7.52,1,0.0319,0.0162,0.0294,0.119,0.978,133.622,5tKlIgkTo8QZBVLGkyhEso,spotify:track:5tKlIgkTo8QZBVLGkyhEso,https://api.spotify.com/v1/tracks/5tKlIgkTo8QZBVLGkyhEso,https://api.spotify.com/v1/audio-analysis/5tKlIgkTo8QZBVLGkyhEso,187267,4
0.372,0.641,2,-7.954,1,0.047,0.137,0.0,0.103,0.33,119.013,5yyqx4brn6Bm9U1Rj9ENnz,spotify:track:5yyqx4brn6Bm9U1Rj9ENnz,https://api.spotify.com/v1/tracks/5yyqx4brn6Bm9U1Rj9ENnz,https://api.spotify.com/v1/audio-analysis/5yyqx4brn6Bm9U1Rj9ENnz,151400,3
0.689,0.819,10,-7.925,1,0.0671,0.605,0.915,0.304,0.526,79.008,6cNNZBkIrUo7Ar9ibtRfpv,spotify:track:6cNNZBkIrUo7Ar9ibtRfpv,https://api.spotify.com/v1/tracks/6cNNZBkIrUo7Ar9ibtRfpv,https://api.spotify.com/v1/audio-analysis/6cNNZBkIrUo7Ar9ibtRfpv,51053,4
0.312,0.0766,9,-20.319,0,0.0408,0.967,0.488,0.0606,0.0493,136.866,3eTgg18rKBD30Hef1gv0wz,spotify:track:3eTgg18rKBD30Hef1gv0wz,https://api.spotify.com/v1/tracks/3eTgg18rKBD30Hef1gv0wz,https://api.spotify.com/v1/audio-analysis/3eTgg18rKBD30Hef1gv0wz,168760,3
0.255,0.186,10,-17.451,1,0.0352,0.932,0.951,0.0895,0.166,75.532,5coYD44PLsyEe42PrIul2D,spotify:track:5coYD44PLsyEe42PrIul2D,https://api.spotify.com/v1/tracks/5coYD44PLsyEe42PrIul2D,https://api.spotify.com/v1/audio-analysis/5coYD44PLsyEe42PrIul2D,131160,3
0.167,0.168,0,-20.745,0,0.0561,0.951,0.979,0.11,0.0816,210.805,354K3xQPgALQEOiIYzAMat,spotify:track:354K3xQPgALQEOiIYzAMat,https://api.spotify.com/v1/tracks/354K3xQPgALQEOiIYzAMat,https://api.spotify.com/v1/audio-analysis/354K3xQPgALQEOiIYzAMat,55280,4
0.527,0.956,11,-3.581,0,0.0777,0.0217,0.000836,0.154,0.816,137.063,2NVjII4zi5d4c9F7ivNYsh,spotify:track:2NVjII4zi5d4c9F7ivNYsh,https://api.spotify.com/v1/tracks/2NVjII4zi5d4c9F7ivNYsh,https://api.spotify.com/v1/audio-analysis/2NVjII4zi5d4c9F7ivNYsh,164293,4
0.446,0.587,2,-6.634,1,0.0413,0.565,0.000478,0.143,0.61,128.908,4ljlAxfaEjO4Q4g9FMtVj4,spotify:track:4ljlAxfaEjO4Q4g9FMtVj4,https://api.spotify.com/v1/tracks/4ljlAxfaEjO4Q4g9FMtVj4,https://api.spotify.com/v1/audio-analysis/4ljlAxfaEjO4Q4g9FMtVj4,109280,4
0.446,0.606,5,-8.338,0,0.0931,0.524,0.13,0.873,0.182,123.773,0dnojq1BIyNqa89hFEqBvM,spotify:track:0dnojq1BIyNqa89hFEqBvM,https://api.spotify.com/v1/tracks/0dnojq1BIyNqa89hFEqBvM,https://api.spotify.com/v1/audio-analysis/0dnojq1BIyNqa89hFEqBvM,591773,4
0.642,0.742,5,-8.211,1,0.0401,0.439,0.000656,0.126,0.897,106.235,7tSODhfDkv0JEhkSMYSIBS,spotify:track:7tSODhfDkv0JEhkSMYSIBS,https://api.spotify.com/v1/tracks/7tSODhfDkv0JEhkSMYSIBS,https://api.spotify.com/v1/audio-analysis/7tSODhfDkv0JEhkSMYSIBS,125787,4
0.639,0.666,0,-7.775,1,0.0636,0.271,0.0,0.111,0.372,98.384,0HL3y3bsKSARBSP0qaImwb,spotify:track:0HL3y3bsKSARBSP0qaImwb,https://api.spotify.com/v1/tracks/0HL3y3bsKSARBSP0qaImwb,https://api.spotify.com/v1/audio-analysis/0HL3y3bsKSARBSP0qaImwb,213733,4
0.338,0.173,1,-17.028,1,0.0433,0.926,0.00153,0.113,0.229,108.949,1O841LULHXexH8W7fqtctA,spotify:track:1O841LULHXexH8W7fqtctA,https://api.spotify.com/v1/tracks/1O841LULHXexH8W7fqtctA,https://api.spotify.com/v1/audio-analysis/1O841LULHXexH8W7fqtctA,214533,4
0.377,0.198,5,-14.826,1,0.0518,0.83,0.0,0.612,0.468,109.787,5YpvrutERg6imRT3shYhtz,spotify:track:5YpvrutERg6imRT3shYhtz,https://api.spotify.com/v1/tracks/5YpvrutERg6imRT3shYhtz,https://api.spotify.com/v1/audio-analysis/5YpvrutERg6imRT3shYhtz,178160,3
0.689,0.533,6,-14.205,1,0.0544,0.321,7.37e-05,0.0958,0.898,98.801,0qxtQ8rf3W1nId3D2r0xH4,spotify:track:0qxtQ8rf3W1nId3D2r0xH4,https://api.spotify.com/v1/tracks/0qxtQ8rf3W1nId3D2r0xH4,https://api.spotify.com/v1/audio-analysis/0qxtQ8rf3W1nId3D2r0xH4,170880,4
0.408,0.313,0,-18.09,1,0.137,0.617,1.18e-05,0.115,0.725,170.013,5k3U0OGYBccHdKJJu3HrUN,spotify:track:5k3U0OGYBccHdKJJu3HrUN,https://api.spotify.com/v1/tracks/5k3U0OGYBccHdKJJu3HrUN,https://api.spotify.com/v1/audio-analysis/5k3U0OGYBccHdKJJu3HrUN,213600,4
0.454,0.395,0,-14.572,0,0.0778,0.859,0.0,0.671,0.533,107.724,5BEItY9of9nR4zj51JO0jU,spotify:track:5BEItY9of9nR4zj51JO0jU,https://api.spotify.com/v1/tracks/5BEItY9of9nR4zj51JO0jU,https://api.spotify.com/v1/audio-analysis/5BEItY9of9nR4zj51JO0jU,67653,4
